Processors,Time_0,Speedup_0,Efficiency_0
1,0.1322534427046776,1.0,1.0
2,0.07749320045113564,1.706645769367491,0.8533228846837455
3,0.06543465554714203,2.0211528829611756,0.6737176276537252
4,0.048660023510456084,2.717907497029033,0.6794768742572582
5,0.0452743548899889,2.9211557630370915,0.5842311526074183
6,0.03751852884888649,3.5250167520521725,0.5875027920086954
7,0.03180018626153469,4.158888932818942,0.594126990402706
8,0.027919546701014042,4.736948064413744,0.592118508051718
9,0.02580590210855007,5.12493003144653,0.5694366701607255
10,0.026311392709612847,5.026470630585773,0.5026470630585773
11,0.0273171104490757,4.84141406358565,0.44012855123505906
12,0.021592535823583604,6.124961134033592,0.5104134278361326
13,0.02536208238452673,5.2146129288407606,0.4011240714492893
14,0.02267144750803709,5.833480312970462,0.41667716521217585
15,0.02592958100140095,5.100485144651279,0.34003234297675194
16,0.02891313601285219,4.574164582004856,0.2858852863753035
1,0.13564876616001129,1.0,1.0
2,0.07878533601760865,1.721751445341219,0.8608757226706095
3,0.07167628332972527,1.8925195316838594,0.6308398438946198
4,0.06095837876200676,2.225268599901749,0.5563171499754372
5,0.05015163235366345,2.7047727021810983,0.5409545404362197
6,0.042407627776265146,3.198687907648814,0.5331146512748023
7,0.03704263716936111,3.66196298443378,0.5231375692048258
8,0.03545408509671688,3.826040519448424,0.478255064931053
9,0.03410644493997097,3.977217983250961,0.4419131092501068
10,0.030607352405786513,4.431901340619257,0.4431901340619257
11,0.026878266781568527,5.046782490195049,0.4587984081995499
12,0.02431452479213476,5.578919074901715,0.46490992290847627
13,0.023984323255717754,5.655726230577435,0.43505586389057194
14,0.024042276851832866,5.642093175949352,0.40300665542495373
15,0.022722611390054225,5.96977010394964,0.39798467359664264
16,0.02430371716618538,5.581399965793882,0.34883749786211765
1,0.12496787160634995,1.0,1.0
2,0.0632414784282446,1.9760428552938039,0.9880214276469019
3,0.042280911654233935,2.955656978929779,0.985218992976593
4,0.032236846163868904,3.876553896466897,0.9691384741167243
5,0.02746848538517952,4.5494999033975025,0.9098999806795005
6,0.02297018188983202,5.440438922326002,0.906739820387667
7,0.01942484825849533,6.433402719205081,0.9190575313150117
8,0.017420886270701885,7.173450860334158,0.8966813575417697
9,0.015571266692131758,8.025543077333385,0.8917270085925983
10,0.01448503378778696,8.627378674926977,0.8627378674926977
11,0.013170371670275927,9.48856074338347,0.8625964312166791
12,0.012320424523204565,10.143146558869189,0.8452622132390991
13,0.011500047612935304,10.86672645300925,0.8359020348468653
14,0.011609318293631076,10.764445288308433,0.7688889491648881
15,0.0104809382930398,11.923347711086024,0.7948898474057349
16,0.010295966546982527,12.13755610375159,0.7585972564844744
