Processors,Time,Speedup,Efficiency
1,0.44815586805343627,1.0,1.0
2,0.2775960981845856,1.6144170288569335,0.8072085144284668
3,0.19073746353387833,2.3495954059063804,0.7831984686354602
4,0.15322900414466858,2.924745680852415,0.7311864202131038
5,0.13496196269989014,3.320608704024138,0.6641217408048277
6,0.11880539730191231,3.772184414438406,0.628697402406401
7,0.11209996119141578,3.9978235789768894,0.5711176541395556
8,0.10318868607282639,4.34307175630811,0.5428839695385137
9,0.098822832852602,4.534942534200347,0.5038825038000385
10,0.09259815141558647,4.83979281661989,0.483979281661989
11,0.09110722690820694,4.9189936217130805,0.4471812383375528
12,0.08652533814311028,5.1794754885811605,0.4316229573817634
13,0.08599604517221451,5.211354396076766,0.40087341508282814
14,0.08285362645983696,5.40900727224871,0.3863576623034793
15,0.07968746647238731,5.623919141772788,0.37492794278485253
16,0.08344474509358406,5.370690120160656,0.335668132510041
