Processors,Time,Speedup,Efficiency
1,7.394053,1.0,1.0
2,3.50553,2.109253950187276,1.054626975093638
3,2.31288,3.1969029953996753,1.0656343317998918
4,1.849629,3.997587083680025,0.9993967709200062
5,1.563071,4.730465218790445,0.946093043758089
6,1.440242,5.1338962479916574,0.8556493746652762
7,1.333854,5.543375062038274,0.7919107231483249
8,1.263271,5.853101195230478,0.7316376494038097
9,1.20235,6.149667734020876,0.6832964148912084
10,1.180818,6.261805799030842,0.6261805799030842
11,1.197155,6.176353939130689,0.5614867217391536
12,1.197853,6.172754920678915,0.5143962433899095
13,1.250315,5.913752134462116,0.4549040103432397
14,1.275093,5.7988342811073395,0.41420244865052425
15,1.354108,5.460460317788537,0.36403068785256915
16,1.396737,5.293804774986272,0.330862798436642
