Processors,Time,Speedup,Efficiency
1,7.695206356048584,1.0,1.0
2,4.07841649055481,1.8868122894927197,0.9434061447463599
3,2.853185796737671,2.6970575715213756,0.8990191905071252
4,2.259776997566223,3.405294577445612,0.851323644361403
5,1.8934343099594115,4.0641528019071025,0.8128305603814205
6,1.699631142616272,4.527574344279912,0.754595724046652
7,1.534638226032257,5.014345547708803,0.7163350782441148
8,1.4319443345069884,5.3739563547335845,0.6717445443416981
9,1.2935459613800049,5.948923800000922,0.6609915333334357
10,1.2237675666809082,6.288127390824269,0.628812739082427
11,1.1689982771873475,6.582735412205681,0.5984304920186982
12,1.1407443404197692,6.745776492931724,0.5621480410776437
13,1.0703571319580079,7.189382054167021,0.5530293887820785
14,1.0522372007369996,7.313185991389365,0.5223704279563832
15,1.0255490899086,7.5034987908130315,0.5002332527208687
16,1.0370811581611634,7.420061868342942,0.4637538667714339
