Processors,Time,Speedup,Efficiency
1,0.11742532551288605,1.0,1.0
2,0.059023420140147206,1.9894700312870277,0.9947350156435139
3,0.03973725661635399,2.955043591624272,0.9850145305414241
4,0.03004088904708624,3.908849878871195,0.9772124697177987
5,0.02689536605030298,4.366005849976644,0.8732011699953288
6,0.02249930202960968,5.219065256262225,0.8698442093770375
7,0.019312836229801178,6.080169899213965,0.8685956998877093
8,0.017380849458277225,6.756017638537509,0.8445022048171886
9,0.015054017212241888,7.800265129057783,0.8666961254508647
10,0.013790799584239722,8.514758320980969,0.8514758320980969
11,0.012503827828913927,9.391150223721972,0.8537409294292702
12,0.012025377247482538,9.764793494313748,0.8137327911928124
13,0.011505497712641954,10.206018761262456,0.7850783662509582
14,0.010770801734179259,10.902189865797759,0.7787278475569828
15,0.010996943991631269,10.677996141677845,0.7118664094451896
16,0.010650943499058485,11.02487545101203,0.6890547156882518
