Processors,Time,Speedup,Efficiency
1,0.12147764936089515,1.0,1.0
2,0.060825037956237796,1.9971652043734935,0.9985826021867468
3,0.041251038759946825,2.9448385546801137,0.9816128515600379
4,0.033461034670472144,3.6304211916104827,0.9076052979026207
5,0.02732990812510252,4.444861241568461,0.8889722483136921
6,0.022576732374727727,5.3806568348605035,0.8967761391434173
7,0.01928120758384466,6.300313340471416,0.900044762924488
8,0.017160383984446526,7.078958691775053,0.8848698364718817
9,0.015692518930882214,7.741118548012854,0.8601242831125393
10,0.013832522090524435,8.782031835258001,0.8782031835258002
11,0.012767866719514132,9.514326240203568,0.8649387491094153
12,0.011918913759291171,10.192006739389273,0.849333894949106
13,0.011257308721542358,10.791002749034636,0.8300771345411259
14,0.01039912849664688,11.68152210063225,0.8343944357594465
15,0.011269523669034243,10.77930646657982,0.7186204311053214
16,0.010392141342163087,11.689376170052169,0.7305860106282606
